Number,Date,Team.Stats.for,Match,Tries,PenGoals,Cons,Drops,MissedGoals,PenTries,Carry,MetresMade,DefenderBeaten,Offload,Pass,Tackle,MissedTackle,Turnover,KicksfromHand,CleanBreaks,Turnovers.Won,LineoutsWon,LineoutsLost,ScrumsWon,ScrumsLost,RucksWon,RucksLost,Total.Penalty.Conceded,Free.Kicks,Scrum.Penalty,Lineout.Penalty,Tackle.Ruck...Maul.Pens,Gen.Play.Pens,Control.Pens,YellowCards,RedCards,Match.Type,Season,PF,PA,PD,Match.Outcome,Home.or.Away
89,14/03/2021,Benetton,Benetton v Cardiff Blues,-2,-1,-1,0,-1,0,-20,-81,-7,-2,18,19,7,9,-8,1,-5,3,-1,-4,-2,-22,2,2,0,-1,0,6,-2,-1,0,0,Regular,S20,14,29,-15,L,H
90,14/03/2021,Cardiff,Benetton v Cardiff Blues,2,1,1,0,1,0,20,81,7,2,-18,-19,-7,-9,8,-1,5,-3,1,4,2,22,-2,-2,0,1,0,-6,2,1,0,0,Regular,S20,29,14,15,W,A
155,26/02/2021,Benetton,Benetton v Connacht,-1,1,0,0,-1,0,38,109,4,-1,110,-60,-4,8,-2,-1,-4,9,-1,-3,0,42,3,0,2,-1,0,1,1,-1,-1,0,Regular,S20,17,19,-2,L,H
157,26/02/2021,Connacht,Benetton v Connacht,1,-1,0,0,1,0,-38,-109,-4,1,-110,60,4,-8,2,1,4,-9,1,3,0,-42,-3,0,-2,1,0,-1,-1,1,1,0,Regular,S20,19,17,2,W,A
181,29/11/2020,Benetton,Benetton v Dragons,0,-3,1,0,-3,0,62,270,11,2,72,-77,-11,1,-9,-2,-6,9,0,2,1,38,5,7,0,0,-1,7,2,-1,0,0,Regular,S20,19,26,-7,L,H
183,29/11/2020,Dragons,Benetton v Dragons,0,3,-1,0,3,0,-62,-270,-11,-2,-72,77,11,-1,9,2,6,-9,0,-2,-1,-38,-5,-7,0,0,1,-7,-2,1,0,0,Regular,S20,26,19,7,W,A
69,10/10/2020,Benetton,Benetton v Leinster,-1,-1,-1,0,1,-1,7,-148,7,1,51,-14,-7,1,-6,-2,-4,6,1,1,0,7,-1,-4,-1,1,-1,-3,1,-1,0,0,Regular,S20,25,37,-12,L,H
73,10/10/2020,Leinster,Benetton v Leinster,1,1,1,0,-1,1,-7,148,-7,-1,-51,14,7,-1,6,2,4,-6,-1,-1,0,-7,1,4,1,-1,1,3,-1,1,0,0,Regular,S20,37,25,12,W,A
185,30/01/2021,Benetton,Benetton v Munster,0,1,-1,-1,1,0,64,71,14,11,107,-95,-14,0,-3,5,0,5,2,0,0,59,-4,-2,1,0,0,-2,-1,0,1,0,Regular,S20,16,18,-2,L,H
187,30/01/2021,Munster,Benetton v Munster,0,-1,1,1,-1,0,-64,-71,-14,-11,-107,95,14,0,3,-5,0,-5,-2,0,0,-59,4,2,-1,0,0,2,1,0,-1,0,Regular,S20,18,16,2,W,A
141,23/10/2020,Benetton,Benetton v Scarlets,-1,0,-1,0,0,0,58,32,15,5,51,-81,-15,1,1,-4,-5,-4,-2,2,2,55,-3,-2,0,1,0,-1,0,-2,0,-1,Regular,S20,3,10,-7,L,H
143,23/10/2020,Scarlets,Benetton v Scarlets,1,0,1,0,0,0,-58,-32,-15,-5,-51,81,15,-1,-1,4,5,4,2,-2,-2,-55,3,2,0,-1,0,1,0,2,0,1,Regular,S20,10,3,7,W,A
9,02/01/2021,Benetton,Benetton v Zebre,0,-3,0,0,0,0,50,14,0,1,55,-72,0,2,-4,2,1,8,2,1,1,45,3,-1,0,0,-2,0,0,1,0,0,Regular,S20,15,24,-9,L,H
16,02/01/2021,Zebre,Benetton v Zebre,0,3,0,0,0,0,-50,-14,0,-1,-55,72,0,-2,4,-2,-1,-8,-2,-1,-1,-45,-3,1,0,0,2,0,0,-1,0,0,Regular,S20,24,15,9,W,A
97,16/11/2020,Benetton,Cardiff Blues v Benetton,-2,-1,-2,0,0,0,-15,29,-6,1,-13,12,6,1,4,-3,5,1,-1,-3,0,-7,-3,5,0,2,0,3,0,0,1,0,Regular,S20,5,22,-17,L,A
98,16/11/2020,Cardiff,Cardiff Blues v Benetton,2,1,2,0,0,0,15,-29,6,-1,13,-12,-6,-1,-4,3,-5,-1,1,3,0,7,3,-5,0,-2,0,-3,0,0,-1,0,Regular,S20,22,5,17,W,H
70,10/10/2020,Cardiff,Cardiff Blues v Connacht,3,1,1,0,1,1,-29,145,6,3,-31,56,-6,-7,1,9,6,-3,0,0,1,-38,-3,0,3,-1,0,5,-2,-2,0,0,Regular,S20,29,7,22,W,H
71,10/10/2020,Connacht,Cardiff Blues v Connacht,-3,-1,-1,0,-1,-1,29,-145,-6,-3,31,-56,6,7,-1,-9,-6,3,0,0,-1,38,3,0,-3,1,0,-5,2,2,0,0,Regular,S20,7,29,-22,L,A
125,22/03/2021,Cardiff,Cardiff Blues v Edinburgh,2,1,3,0,0,0,-29,-153,-8,4,-51,57,8,1,-4,1,5,1,0,0,0,-34,-4,-5,0,-1,0,-2,-2,0,0,0,Regular,S20,34,15,19,W,H
127,22/03/2021,Edinburgh,Cardiff Blues v Edinburgh,-2,-1,-3,0,0,0,29,153,8,-4,51,-57,-8,-1,4,-1,-5,-1,0,0,0,34,4,5,0,1,0,2,2,0,0,0,Regular,S20,15,34,-19,L,A
182,29/11/2020,Cardiff,Cardiff Blues v Glasgow Warriors,0,-3,0,0,-1,0,-52,-179,4,1,-41,75,-4,1,-4,2,-2,9,0,-1,0,-58,3,5,1,-1,1,2,1,2,1,0,Regular,S20,10,19,-9,L,H
184,29/11/2020,Glasgow,Cardiff Blues v Glasgow Warriors,0,3,0,0,1,0,52,179,-4,-1,41,-75,4,-1,4,-2,2,-9,0,1,0,58,-3,-5,-1,1,-1,-2,-1,-2,-1,0,Regular,S20,19,10,9,W,A
156,26/02/2021,Cardiff,Cardiff Blues v Munster,-1,0,-2,0,2,0,-25,-28,5,-2,-37,50,-5,-4,2,5,0,-6,-4,2,1,-24,-1,3,0,3,0,0,0,1,1,0,Regular,S20,11,20,-9,L,H
158,26/02/2021,Munster,Cardiff Blues v Munster,1,0,2,0,-2,0,25,28,-5,2,37,-50,5,4,-2,-5,0,6,4,-2,-1,24,1,-3,0,-3,0,0,0,-1,-1,0,Regular,S20,20,11,9,W,A
1,01/01/2021,Cardiff,Cardiff Blues v Ospreys,-2,0,-1,0,-1,-1,-7,8,-4,2,-32,26,4,0,-4,2,3,-6,2,-5,1,-9,-2,9,1,4,1,4,1,-1,2,0,Regular,S20,3,17,-14,L,H
3,01/01/2021,Ospreys,Cardiff Blues v Ospreys,2,0,1,0,1,1,7,-8,4,-2,32,-26,-4,0,4,-2,-3,6,-2,5,-1,9,2,-9,-1,-4,-1,-4,-1,1,-2,0,Regular,S20,17,3,14,W,A
56,09/01/2021,Cardiff,Cardiff Blues v Scarlets,1,2,-1,0,2,0,24,202,13,3,44,-2,-13,1,4,9,1,6,0,-1,1,16,-1,-5,0,2,0,-3,-4,0,0,-1,Regular,S20,29,20,9,W,H
61,09/01/2021,Scarlets,Cardiff Blues v Scarlets,-1,-2,1,0,-2,0,-24,-202,-13,-3,-44,2,13,-1,-4,-9,-1,-6,0,1,-1,-16,1,5,0,-2,0,3,4,0,0,1,Regular,S20,20,29,-9,L,A
23,02/11/2020,Cardiff,Cardiff Blues v Ulster,0,-2,1,0,0,0,-37,-122,-3,6,15,67,3,5,5,-3,2,0,-2,-16,-1,-45,-5,6,1,3,1,1,1,0,1,0,Regular,S20,7,11,-4,L,H
27,02/11/2020,Ulster,Cardiff Blues v Ulster,0,2,-1,0,0,0,37,122,3,-6,-15,-67,-3,-5,-5,3,-2,0,2,16,1,45,5,-6,-1,-3,-1,-1,-1,0,-1,0,Regular,S20,11,7,4,W,A
35,04/12/2020,Benetton,Connacht v Benetton,-3,0,-1,0,-2,0,-23,-11,-2,8,15,52,2,7,0,-4,1,3,-2,-5,2,-26,-3,1,0,4,-1,-5,0,3,1,0,Regular,S20,14,31,-17,L,A
36,04/12/2020,Connacht,Connacht v Benetton,3,0,1,0,2,0,23,11,2,-8,-15,-52,-2,-7,0,4,-1,-3,2,5,-2,26,3,-1,0,-4,1,5,0,-3,-1,0,Regular,S20,31,14,17,W,H
114,20/02/2021,Cardiff,Connacht v Cardiff Blues,-2,-1,-1,0,0,0,22,-8,-1,5,41,-5,1,1,-11,-3,2,2,1,-3,0,18,0,-1,2,1,0,-3,0,1,0,0,Regular,S20,17,32,-15,L,A
115,20/02/2021,Connacht,Connacht v Cardiff Blues,2,1,1,0,0,0,-22,8,1,-5,-41,5,-1,-1,11,3,-2,-2,-1,3,0,-18,0,1,-2,-1,0,3,0,-1,0,0,Regular,S20,32,17,15,W,H
85,13/03/2021,Connacht,Connacht v Edinburgh,0,-1,1,0,-1,0,20,-96,0,-2,58,-19,0,4,-2,-1,-2,6,0,-1,0,13,3,-2,-1,-2,-2,0,1,1,0,1,Regular,S20,14,15,-1,L,H
87,13/03/2021,Edinburgh,Connacht v Edinburgh,0,1,-1,0,1,0,-20,96,0,2,-58,19,0,-4,2,1,2,-6,0,1,0,-13,-3,2,1,2,2,0,-1,-1,0,-1,Regular,S20,15,14,1,W,A
29,03/10/2020,Connacht,Connacht v Glasgow Warriors,0,2,-1,0,1,0,-7,-126,-11,5,-26,12,11,-3,4,-6,0,-1,1,0,1,-13,0,-1,2,-1,3,0,-1,-2,1,0,Regular,S20,28,24,4,W,H
31,03/10/2020,Glasgow,Connacht v Glasgow Warriors,0,-2,1,0,-1,0,7,126,11,-5,26,-12,-11,3,-4,6,0,1,-1,0,-1,13,0,1,-2,1,-3,0,1,2,-1,0,Regular,S20,24,28,-4,L,A
57,09/01/2021,Connacht,Connacht v Munster,0,-2,0,0,1,0,54,19,8,0,67,-70,-8,2,-6,1,-5,5,0,3,-1,51,4,-5,-1,-1,-1,-2,1,-1,-1,0,Regular,S20,10,16,-6,L,H
59,09/01/2021,Munster,Connacht v Munster,0,2,0,0,-1,0,-54,-19,-8,0,-67,70,8,-2,6,-1,5,-5,0,-3,1,-51,-4,5,1,1,1,2,-1,1,1,0,Regular,S20,16,10,6,W,A
147,24/01/2021,Connacht,Connacht v Ospreys,-2,2,-1,0,-1,0,-42,-55,-15,-4,-67,38,15,3,2,-4,-1,-6,-3,-3,1,-30,1,0,-1,1,-1,1,1,-2,-1,0,Regular,S20,20,26,-6,L,H
148,24/01/2021,Ospreys,Connacht v Ospreys,2,-2,1,0,1,0,42,55,15,4,67,-38,-15,-3,-2,4,1,6,3,3,-1,30,-1,0,1,-1,1,-1,-1,2,1,0,Regular,S20,26,20,6,W,A
91,14/11/2020,Connacht,Connacht v Scarlets,-1,-1,1,0,-2,0,48,80,12,1,25,-76,-12,13,-10,-1,-4,8,-3,0,1,35,3,-2,-3,-1,-1,1,0,-1,0,0,Regular,S20,14,20,-6,L,H
92,14/11/2020,Scarlets,Connacht v Scarlets,1,1,-1,0,2,0,-48,-80,-12,-1,-25,76,12,-13,10,1,4,-8,3,0,-1,-35,-3,2,3,1,1,-1,0,1,0,0,Regular,S20,20,14,6,W,A
175,27/12/2020,Connacht,Connacht v Ulster,1,-6,0,0,0,0,77,179,5,5,107,-81,-5,1,-9,4,-5,0,4,3,0,53,6,1,0,-1,1,2,-1,0,-1,0,Regular,S20,19,32,-13,L,H
176,27/12/2020,Ulster,Connacht v Ulster,-1,6,0,0,0,0,-77,-179,-5,-5,-107,81,5,-1,9,-4,5,0,-4,-3,0,-53,-6,-1,0,1,-1,-2,1,0,1,0,Regular,S20,32,19,13,W,A
163,26/12/2020,Cardiff,Dragons v Cardiff Blues,1,-2,1,0,0,0,8,-64,-3,0,-27,-50,3,-2,3,0,1,8,2,4,0,17,-3,-5,-2,-2,0,-2,-1,0,0,0,Regular,S20,13,12,1,W,A
164,26/12/2020,Dragons,Dragons v Cardiff Blues,-1,2,-1,0,0,0,-8,64,3,0,27,50,-3,2,-3,0,-1,-8,-2,-4,0,-17,3,5,2,2,0,2,1,0,0,0,Regular,S20,12,13,-1,L,H
37,05/02/2021,Connacht,Dragons v Connacht,1,0,1,1,1,0,-41,-14,-5,2,-38,41,5,-7,5,1,-1,-2,0,3,0,-32,5,7,0,-1,-1,6,4,-1,1,0,Regular,S20,30,20,10,W,A
38,05/02/2021,Dragons,Dragons v Connacht,-1,0,-1,-1,-1,0,41,14,5,-2,38,-41,-5,7,-5,-1,1,2,0,-3,0,32,-5,-7,0,1,1,-6,-4,1,-1,0,Regular,S20,20,30,-10,L,H
179,28/03/2021,Dragons,Dragons v Edinburgh,0,1,2,0,-1,0,-29,-79,2,6,-5,32,-2,8,-11,-1,-6,5,-1,-4,0,-34,4,2,1,-2,0,4,-1,1,-1,0,Regular,S20,24,17,7,W,H
180,28/03/2021,Edinburgh,Dragons v Edinburgh,0,-1,-2,0,1,0,29,79,-2,-6,5,-32,2,-8,11,1,6,-5,1,4,0,34,-4,-2,-1,2,0,-4,1,-1,1,0,Regular,S20,17,24,-7,L,A
121,21/03/2021,Dragons,Dragons v Glasgow Warriors,0,3,0,0,0,0,-39,43,8,0,-14,58,-8,-1,0,2,4,-3,1,2,-1,-38,-1,-5,0,-1,0,-3,1,-1,0,0,Regular,S20,26,17,9,W,H
122,21/03/2021,Glasgow,Dragons v Glasgow Warriors,0,-3,0,0,0,0,39,-43,-8,0,14,-58,8,1,0,-2,-4,3,-1,-2,1,38,1,5,0,1,0,3,-1,1,0,0,Regular,S20,17,26,-9,L,A
103,19/02/2021,Dragons,Dragons v Leinster,-3,5,-2,0,0,-1,-14,-100,-6,-4,1,21,6,-2,1,2,5,5,1,7,0,-2,-1,-9,1,-3,-1,-3,-3,1,2,0,Regular,S20,29,35,-6,L,H
105,19/02/2021,Leinster,Dragons v Leinster,3,-5,2,0,0,1,14,100,6,4,-1,-21,-6,2,-1,-2,-5,-5,-1,-7,0,2,1,9,-1,3,1,3,3,-1,-2,0,Regular,S20,35,29,6,W,A
5,01/11/2020,Dragons,Dragons v Munster,-1,-1,-2,0,2,0,-10,-251,-10,-5,-9,-3,10,-10,3,-7,3,-5,4,4,1,9,-2,2,0,3,0,1,-3,1,0,0,Regular,S20,16,28,-12,L,H
7,01/11/2020,Munster,Dragons v Munster,1,1,2,0,-2,0,10,251,10,5,9,3,-10,10,-3,7,-3,5,-4,-4,-1,-9,2,-2,0,-3,0,-1,3,-1,0,0,Regular,S20,28,16,12,W,A
58,09/01/2021,Dragons,Dragons v Ospreys,-1,-1,0,0,-1,0,-18,-83,-1,8,-11,28,1,1,2,-6,2,-5,0,-2,0,-12,2,6,0,3,0,2,0,2,0,0,Regular,S20,20,28,-8,L,H
60,09/01/2021,Ospreys,Dragons v Ospreys,1,1,0,0,1,0,18,83,1,-8,11,-28,-1,-1,-2,6,-2,5,0,2,0,12,-2,-6,0,-3,0,-2,0,-2,0,0,Regular,S20,28,20,8,W,A
86,13/03/2021,Dragons,Dragons v Ulster,-1,1,-1,0,1,0,29,-214,-9,-6,61,-70,9,5,-6,-7,1,4,2,4,0,35,0,-9,0,-2,1,-4,-2,-2,-1,0,Regular,S20,22,26,-4,L,H
88,13/03/2021,Ulster,Dragons v Ulster,1,-1,1,0,-1,0,-29,214,9,6,-61,70,-9,-5,6,7,-1,-4,-2,-4,0,-35,0,9,0,2,-1,4,2,2,1,0,Regular,S20,26,22,4,W,A
63,09/10/2020,Dragons,Dragons v Zebre,2,0,-1,0,3,0,-9,54,13,0,-2,9,-13,-4,-2,-2,4,-5,0,5,1,-1,-1,-1,0,0,1,-3,2,-1,-1,0,Regular,S20,26,18,8,W,H
64,09/10/2020,Zebre,Dragons v Zebre,-2,0,1,0,-3,0,9,-54,-13,0,2,-9,13,4,2,2,-4,5,0,-5,-1,1,1,1,0,0,-1,3,-2,1,1,0,Regular,S20,18,26,-8,L,A
65,09/11/2020,Cardiff,Edinburgh v Cardiff Blues,-2,-2,-1,0,0,0,-17,-66,2,0,32,58,-2,11,-7,3,-5,-3,-1,-1,0,-33,-1,0,0,-1,0,1,0,0,0,0,Regular,S20,0,18,-18,L,A
66,09/11/2020,Edinburgh,Edinburgh v Cardiff Blues,2,2,1,0,0,0,17,66,-2,0,-32,-58,2,-11,7,-3,5,3,1,1,0,33,1,0,0,1,0,-1,0,0,0,0,Regular,S20,18,0,18,W,H
151,25/10/2020,Connacht,Edinburgh v Connacht,1,2,0,0,1,0,-47,-61,-11,0,-91,78,11,1,7,4,2,-8,1,-1,0,-51,-2,2,0,2,2,-2,0,0,0,0,Regular,S20,37,26,11,W,A
153,25/10/2020,Edinburgh,Edinburgh v Connacht,-1,-2,0,0,-1,0,47,61,11,0,91,-78,-11,-1,-7,-4,-2,8,-1,1,0,51,2,-2,0,-2,-2,2,0,0,0,0,Regular,S20,26,37,-11,L,H
11,02/01/2021,Edinburgh,Edinburgh v Glasgow Warriors,0,1,0,0,-1,0,-52,-93,-6,-6,-94,52,6,1,5,-4,4,-3,5,7,1,-37,-3,-9,0,-7,0,-2,1,-1,0,0,Regular,S20,10,7,3,W,H
12,02/01/2021,Glasgow,Edinburgh v Glasgow Warriors,0,-1,0,0,1,0,52,93,6,6,94,-52,-6,-1,-5,4,-4,3,-5,-7,-1,37,3,9,0,7,0,2,-1,1,0,0,Regular,S20,7,10,-3,L,A
116,20/02/2021,Edinburgh,Edinburgh v Munster,-2,0,-1,0,-1,0,31,-42,3,-1,4,-37,-3,3,-7,-3,-4,3,2,3,0,34,2,-5,1,0,2,-3,-3,-1,0,0,Regular,S20,10,22,-12,L,H
117,20/02/2021,Munster,Edinburgh v Munster,2,0,1,0,1,0,-31,42,-3,1,-4,37,3,-3,7,3,4,-3,-2,-3,0,-34,-2,5,-1,0,-2,3,3,1,0,0,Regular,S20,22,10,12,W,A
30,03/10/2020,Edinburgh,Edinburgh v Ospreys,-2,-1,-2,0,1,1,-5,5,10,3,-13,-4,-10,5,-8,-5,1,3,0,-2,1,-5,-1,-3,1,2,0,-3,-1,-1,0,0,Regular,S20,10,25,-15,L,H
33,03/10/2020,Ospreys,Edinburgh v Ospreys,2,1,2,0,-1,-1,5,-5,-10,-3,13,4,10,-5,8,5,-1,-3,0,2,-1,5,1,3,-1,-2,0,3,1,1,0,0,Regular,S20,25,10,15,W,A
168,27/02/2021,Edinburgh,Edinburgh v Scarlets,0,0,-1,0,2,0,85,239,31,1,77,-119,-31,-1,0,4,0,4,0,7,0,73,0,-6,0,-1,-2,-3,0,0,0,0,Regular,S20,25,27,-2,L,H
169,27/02/2021,Scarlets,Edinburgh v Scarlets,0,0,1,0,-2,0,-85,-239,-31,-1,-77,119,31,1,0,-4,0,-4,0,-7,0,-73,0,6,0,1,2,3,0,0,0,0,Regular,S20,27,25,2,W,A
189,30/11/2020,Edinburgh,Edinburgh v Ulster,-5,0,-2,0,-2,0,11,-97,-5,-1,20,-27,5,4,-2,-3,-4,-4,-2,-3,-1,19,3,5,1,0,4,-1,3,-1,1,0,Regular,S20,14,43,-29,L,H
191,30/11/2020,Ulster,Edinburgh v Ulster,5,0,2,0,2,0,-11,97,5,1,-20,27,-5,-4,2,3,4,4,2,3,1,-19,-3,-5,-1,0,-4,1,-3,1,-1,0,Regular,S20,43,14,29,W,A
171,27/03/2021,Benetton,Glasgow Warriors v Benetton,-2,-1,-4,0,2,0,49,-142,4,3,77,-62,-4,0,-2,-7,-2,6,0,3,1,44,0,-4,1,1,-1,-5,-1,2,1,0,Regular,S20,25,46,-21,L,A
172,27/03/2021,Glasgow,Glasgow Warriors v Benetton,2,1,4,0,-2,0,-49,142,-4,-3,-77,62,4,0,2,7,2,-6,0,-3,-1,-44,0,4,-1,-1,1,5,1,-2,-1,0,Regular,S20,46,25,21,W,H
41,05/12/2020,Dragons,Glasgow Warriors v Dragons,-1,1,0,1,-1,0,-82,-258,-8,-4,-92,135,8,-2,6,-3,2,3,1,-2,0,-79,0,-2,1,1,-1,-1,1,-1,1,0,Regular,S20,23,22,1,W,A
42,05/12/2020,Glasgow,Glasgow Warriors v Dragons,1,-1,0,-1,1,0,82,258,8,4,92,-135,-8,2,-6,3,-2,-3,-1,2,0,79,0,2,-1,-1,1,1,-1,1,-1,0,Regular,S20,22,23,-1,L,H
95,16/01/2021,Edinburgh,Glasgow Warriors v Edinburgh,1,-2,0,0,0,0,6,79,4,2,7,-14,-4,3,-7,6,-1,-10,0,3,0,-3,1,6,-1,3,1,2,-2,2,-1,0,Regular,S20,22,23,-1,L,A
96,16/01/2021,Glasgow,Glasgow Warriors v Edinburgh,-1,2,0,0,0,0,-6,-79,-4,-2,-7,14,4,-3,7,-6,1,10,0,-3,0,3,-1,-6,1,-3,-1,-2,2,-2,1,0,Regular,S20,23,22,1,W,H
24,02/11/2020,Glasgow,Glasgow Warriors v Leinster,-1,-2,-1,0,0,0,6,-135,7,0,-1,2,-7,-2,-10,0,-3,-4,4,-2,1,2,1,3,0,3,0,0,1,-1,0,0,Regular,S20,19,32,-13,L,H
25,02/11/2020,Leinster,Glasgow Warriors v Leinster,1,2,1,0,0,0,-6,135,-7,0,1,-2,7,2,10,0,3,4,-4,2,-1,-2,-1,-3,0,-3,0,0,-1,1,0,0,Regular,S20,32,19,13,W,A
145,23/11/2020,Glasgow,Glasgow Warriors v Munster,-2,0,-2,0,-2,0,-11,-125,-4,-2,-10,9,4,0,-5,-3,-5,-1,0,7,-1,-2,4,4,-1,1,-1,3,0,2,0,0,Regular,S20,13,27,-14,L,H
146,23/11/2020,Munster,Glasgow Warriors v Munster,2,0,2,0,2,0,11,125,4,2,10,-9,-4,0,5,3,5,1,0,-7,1,2,-4,-4,1,-1,1,-3,0,-2,0,0,Regular,S20,27,13,14,W,A
79,12/03/2021,Glasgow,Glasgow Warriors v Ospreys,0,1,2,0,-2,-1,-11,-26,2,3,-47,26,-2,1,8,2,-6,5,-4,-1,-2,-13,2,2,0,-1,-1,5,-1,0,2,0,Regular,S20,30,25,5,W,H
82,12/03/2021,Ospreys,Glasgow Warriors v Ospreys,0,-1,-2,0,2,1,11,26,-2,-3,47,-26,2,-1,-8,-2,6,-5,4,1,2,13,-2,-2,0,1,1,-5,1,0,-2,0,Regular,S20,25,30,-5,L,A
77,11/10/2020,Glasgow,Glasgow Warriors v Scarlets,1,2,1,0,1,0,8,-47,-5,-1,-26,-20,5,-2,7,-1,2,-3,-2,2,1,8,-1,-3,-2,-1,0,-2,1,-2,2,-1,Regular,S20,20,7,13,W,H
78,11/10/2020,Scarlets,Glasgow Warriors v Scarlets,-1,-2,-1,0,-1,0,-8,47,5,1,26,20,-5,2,-7,1,-2,3,2,-2,-1,-8,1,3,2,1,0,2,-1,2,-2,1,Regular,S20,7,20,-13,L,A
104,19/02/2021,Glasgow,Glasgow Warriors v Ulster,-2,2,-1,0,-1,0,-26,-5,-7,-3,-9,43,7,-5,2,-7,1,-5,1,3,1,-24,2,3,1,1,1,-2,1,2,-1,0,Regular,S20,13,19,-6,L,H
